"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ABCAPITAL",1000,184.71,358.6,184712.85,358600,173887.15,94.14,2.21,""
"ANANTRAJ",4,715.9,552,2863.6,2208,-655.6,-22.89,-2.57,""
"ARVINDFASN",200,430.5,461.3,86100.5,92260,6159.5,7.15,-1.86,""
"BAJFINANCE",1150,698.15,945.95,802872.77,1087842.5,284969.73,35.49,-0.32,""
"BECTORFOOD",1500,261.73,233.2,392590,349800,-42790,-10.9,0.63,""
"BIKAJI",300,607.7,699,182310.9,209700,27389.1,15.02,-0.38,""
"BLS",200,342.83,306.55,68565,61310,-7255,-10.58,3.09,""
"CRAMC",125,279.67,282.4,34958.45,35300,341.55,0.98,0.52,""
"E2E",10,3033.8,2024.1,30338,20241,-10097,-33.28,1.83,""
"EMUDHRA",134,460.69,557.05,61732.05,74644.7,12912.65,20.92,-0.63,""
"GOLDBEES",1000,113.14,118.01,113140,118010,4870,4.3,1.41,""
"IDFCFIRSTB",2500,57.98,83.06,144950,207650,62700,43.26,0.11,""
"INDHOTEL",200,440.69,689.85,88138.3,137970,49831.7,56.54,1.67,""
"ITCHOTELS",200,264.59,192,52918.94,38400,-14518.94,-27.44,-0.26,""
"LTIM",53,5201.79,6041.9,275694.75,320220.7,44525.95,16.15,-0.97,""
"MEDANTA",50,1190,1161.6,59500,58080,-1420,-2.39,-0.6,""
"NETWEB",1,4280.8,3187.6,4280.8,3187.6,-1093.2,-25.54,-2.61,""
"NH",151,1264.86,1946.1,190993.2,293861.1,102867.9,53.86,3.09,""
"NIFTYBEES",1450,187.81,290.66,272324,421457,149133,54.76,-0.16,""
"PATANJALI",402,544.01,543.9,218692.05,218647.8,-44.25,-0.02,-0.15,""
"PCBL",700,227.81,280.45,159467.5,196315,36847.5,23.11,-0.14,""
"PERSISTENT",60,3414.83,6274,204889.65,376440,171550.35,83.73,-1.31,""
"RAILTEL",11,388.5,353.05,4273.5,3883.55,-389.95,-9.12,3.76,""
"RICOAUTO",0,131.16,127.61,0,0,0,-2.71,-0.37,""
"SGBFEB32IV-GB",20,13159.98,18935.75,263199.6,378715,115515.4,43.89,0.45,""
"SGBJAN30IX-GB",20,4772,16375,95439.95,327500,232060.05,243.15,0.54,""
"SGBSEP31II",20,5873,17235.75,117460,344715,227255,193.47,1.3,""
"SHRIRAMFIN",215,392.68,981.1,84426.55,210936.5,126509.95,149.85,0.21,""
"SILVERBEES",2000,108.66,262.81,217316.51,525620,308303.49,141.87,5.33,""
"TI",250,505.75,419.3,126436.55,104825,-21611.55,-17.09,-2.43,""
"TITAN",100,3222.68,4221.5,322268.1,422150,99881.9,30.99,-0.42,""
"TMCV",200,220.85,433.65,44170.25,86730,42559.75,96.35,2.24,""
"TMPV",200,488.14,349.8,97628.29,69960,-27668.29,-28.34,0.01,""
"ULTRACEMCO",23,8445.05,12255,194236.25,281865,87628.75,45.11,1.75,""
"VBL",400,474.29,502.4,189716.8,200960,11243.2,5.93,0.24,""
